schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,network_profile,network_risk,adaptive_redundancy_factor,adaptive_custody_rounds,adaptive_repair_budget_factor,receive_mode
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:normal,targeted,0.2,100,131,31,1.3014464315662675,1.31,6.0,0.5,12,6,True,1.0,16,116,87,29,False,100,5.1603053435114505,0.70365404315786,0.007633587786259542,0.007633587786259542,2.1755725190839694,False,False,False,normal,0.342976210441784,1.3014464315662675,6,0.10144643156626762,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:bad,targeted,0.2,100,135,35,1.3444543438912844,1.35,6.0,0.5,12,6,True,1.0,16,116,89,27,False,97,5.311111111111111,0.7039842873176206,0.037037037037037035,0.0,2.0444444444444443,False,False,False,bad,0.6296956259418968,1.3444543438912844,6,0.14445434389128453,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:very_bad,targeted,0.2,100,139,39,1.3886287237214805,1.39,6.0,0.5,12,7,True,1.0,24,124,89,35,False,107,5.683453237410072,0.7267113581861784,0.06474820143884892,0.02158273381294964,2.6115107913669067,False,False,False,very_bad,0.9241914914765375,1.3886287237214805,7,0.18862872372148065,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:good,behavioral,0.2,100,127,27,1.2606435795061393,1.27,6.0,0.5,12,5,True,1.0,12,112,85,27,True,0,5.307086614173229,0.7101137925941076,0.05511811023622047,0.007874015748031496,0.0,False,False,False,good,0.07095719670759448,1.2606435795061393,5,0.060643579506139175,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:normal,behavioral,0.2,100,131,31,1.3014464315662675,1.31,6.0,0.5,12,6,True,1.0,12,112,86,26,True,0,5.213740458015267,0.6865737527951269,0.05343511450381679,0.030534351145038167,0.0,False,False,False,normal,0.342976210441784,1.3014464315662675,6,0.10144643156626762,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:bad,behavioral,0.2,100,135,35,1.3444543438912844,1.35,6.0,0.5,12,6,True,1.0,14,114,91,23,True,0,4.733333333333333,0.6818868579979691,0.02962962962962963,0.0,0.0,False,False,False,bad,0.6296956259418968,1.3444543438912844,6,0.14445434389128453,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:very_bad,behavioral,0.2,100,139,39,1.3886287237214805,1.39,6.0,0.5,12,7,True,1.0,17,117,85,32,True,0,4.589928057553957,0.653591672116852,0.04316546762589928,0.03597122302158273,0.0,False,False,False,very_bad,0.9241914914765375,1.3886287237214805,7,0.18862872372148065,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-027:good,random,0.2,100,127,27,1.2668639650823639,1.27,6.0,0.5,12,5,True,1.0,9,109,85,24,False,78,5.125984251968504,0.6989666064469214,0.05511811023622047,0.031496062992125984,1.0866141732283465,False,False,False,good,0.11242643388242612,1.2668639650823639,5,0.06686396508236392,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-027:normal,random,0.2,100,131,31,1.3048618981480335,1.31,6.0,0.5,12,6,True,1.0,10,110,84,26,False,84,4.99236641221374,0.6720773713140126,0.015267175572519083,0.0,1.3053435114503817,False,False,False,normal,0.3657459876535567,1.3048618981480335,6,0.10486189814803351,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-027:bad,random,0.2,100,135,35,1.3483695578132917,1.35,6.0,0.5,12,6,True,1.0,17,117,87,30,False,88,4.7555555555555555,0.6777010849233072,0.014814814814814815,0.0,1.4370370370370371,False,False,False,bad,0.655797052088612,1.3483695578132917,6,0.1483695578132918,STREAMING
