schema_version,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,anomaly_detected,memory_rewrite,purge_triggered,reset_epoch_pre,reset_epoch_post,pre_alarm_path_count,post_candidate_count,random_multipath_reset:post_reset_path_distance_from_pre_alarm,random_multipath_reset:state_break_distance,random_multipath_reset:state_continuity_score,random_multipath_reset:lane_collapse_rate,random_multipath_reset:path_overlap,random_multipath_reset:unique_path_ratio,random_multipath_reset:clean_path_ratio,random_multipath_reset:path_compromise_rate,random_multipath_reset:mean_compromised_nodes_per_path,state_aware_reset:post_reset_path_distance_from_pre_alarm,state_aware_reset:state_break_distance,state_aware_reset:state_continuity_score,state_aware_reset:lane_collapse_rate,state_aware_reset:path_overlap,state_aware_reset:unique_path_ratio,state_aware_reset:clean_path_ratio,state_aware_reset:path_compromise_rate,state_aware_reset:mean_compromised_nodes_per_path,lemonade_reset:post_reset_path_distance_from_pre_alarm,lemonade_reset:state_break_distance,lemonade_reset:state_continuity_score,lemonade_reset:lane_collapse_rate,lemonade_reset:path_overlap,lemonade_reset:unique_path_ratio,lemonade_reset:clean_path_ratio,lemonade_reset:path_compromise_rate,lemonade_reset:mean_compromised_nodes_per_path,delta_lemonade_vs_state_aware:path_break,delta_lemonade_vs_random:path_break
1.0.0,pilot-010,n17,n39,random,0.2,20,100,245,3,36,True,True,True,0,1,3,12,0.9131519274376417,0.5078125,0.4921875,0.0,0.17929292929292928,1.0,0.0,1.0,6.666666666666667,0.6214209968186638,0.4856770833333333,0.5143229166666667,0.0,0.08333333333333333,1.0,0.0,1.0,2.0,0.9220238095238096,0.5221354166666666,0.47786458333333337,0.0,0.0673076923076923,1.0,0.0,1.0,5.666666666666667,0.30060281270514577,0.008871882086167848
1.0.0,pilot-010,n17,n39,targeted,0.2,20,100,245,3,36,True,True,True,0,1,3,12,0.9131519274376417,0.5078125,0.4921875,0.0,0.17929292929292928,1.0,0.0,1.0,7.333333333333333,0.6214209968186638,0.4856770833333333,0.5143229166666667,0.0,0.08333333333333333,1.0,0.0,1.0,2.6666666666666665,0.9220238095238096,0.5221354166666666,0.47786458333333337,0.0,0.0673076923076923,1.0,0.0,1.0,9.333333333333334,0.30060281270514577,0.008871882086167848
1.0.0,pilot-011,n4,n71,random,0.2,20,100,243,3,36,True,True,True,0,1,3,12,0.6156278229448962,0.4752604166666667,0.5247395833333333,0.0,0.13194444444444445,1.0,0.0,1.0,4.666666666666667,0.6341463414634146,0.4986979166666667,0.5013020833333333,0.0,0.1111111111111111,1.0,0.0,1.0,2.6666666666666665,0.9416666666666668,0.50390625,0.49609375,0.0,0.0,1.0,0.0,1.0,2.6666666666666665,0.3075203252032521,0.3260388437217706
1.0.0,pilot-011,n4,n71,targeted,0.2,20,100,243,3,36,True,True,True,0,1,3,12,0.6156278229448962,0.4752604166666667,0.5247395833333333,0.0,0.13194444444444445,1.0,0.0,1.0,3.3333333333333335,0.6341463414634146,0.4986979166666667,0.5013020833333333,0.0,0.1111111111111111,1.0,0.0,1.0,3.3333333333333335,0.9416666666666668,0.50390625,0.49609375,0.0,0.0,1.0,0.0,1.0,3.0,0.3075203252032521,0.3260388437217706
1.0.0,pilot-012,n91,n54,random,0.2,20,100,262,3,36,True,True,True,0,1,1,1,0.0,0.5234375,0.4765625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.53125,0.46875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-012,n91,n54,targeted,0.2,20,100,262,3,36,True,True,True,0,1,1,1,0.0,0.5234375,0.4765625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.53125,0.46875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0.0,pilot-013,n93,n11,random,0.2,20,100,244,3,36,True,True,True,0,1,3,12,0.9178451178451178,0.51171875,0.48828125,0.0,0.09523809523809523,1.0,0.0,1.0,2.6666666666666665,0.6148148148148148,0.5286458333333334,0.47135416666666663,0.0,0.047619047619047616,1.0,0.0,1.0,3.6666666666666665,0.9355963729365264,0.4895833333333333,0.5104166666666667,0.0,0.10294117647058824,1.0,0.0,1.0,4.333333333333333,0.3207815581217116,0.017751255091408624
1.0.0,pilot-013,n93,n11,targeted,0.2,20,100,244,3,36,True,True,True,0,1,3,12,0.9178451178451178,0.51171875,0.48828125,0.0,0.09523809523809523,1.0,0.0,1.0,4.333333333333333,0.6148148148148148,0.5286458333333334,0.47135416666666663,0.0,0.047619047619047616,1.0,0.0,1.0,4.666666666666667,0.9355963729365264,0.4895833333333333,0.5104166666666667,0.0,0.10294117647058824,1.0,0.0,1.0,5.0,0.3207815581217116,0.017751255091408624
1.0.0,pilot-014,n32,n58,random,0.2,20,100,288,3,36,True,True,True,0,1,3,12,0.6049493142516398,0.4765625,0.5234375,0.0,0.2888888888888889,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.6165637641047477,0.4934895833333333,0.5065104166666667,0.0,0.2698412698412698,1.0,0.3333333333333333,0.6666666666666666,4.333333333333333,0.9260948353971609,0.5221354166666666,0.47786458333333337,0.0,0.11513157894736842,1.0,0.0,1.0,5.666666666666667,0.3095310712924132,0.3211455211455211
1.0.0,pilot-014,n32,n58,targeted,0.2,20,100,288,3,36,True,True,True,0,1,3,12,0.6049493142516398,0.4765625,0.5234375,0.0,0.2888888888888889,1.0,0.0,1.0,5.666666666666667,0.6165637641047477,0.4934895833333333,0.5065104166666667,0.0,0.2698412698412698,1.0,0.0,1.0,6.333333333333333,0.9260948353971609,0.5221354166666666,0.47786458333333337,0.0,0.11513157894736842,1.0,0.0,1.0,9.0,0.3095310712924132,0.3211455211455211
