schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,behavioral,0.2,0,100,241,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9895833333333334,1.008254716981132,0.5013020833333334,0.49869791666666663,0.0,0.06060606060606061,1.0,1.0,0.0,0.0,0.1461309523809524,0.8894736842105262,0.5263157894736842,0.36409805163385656,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,behavioral,0.2,0,100,241,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9895833333333334,1.008254716981132,0.5078125,0.4921875,0.0,0.06060606060606061,1.0,1.0,0.0,0.0,0.1461309523809524,0.8894736842105262,0.5263157894736842,0.36409805163385656,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,behavioral,0.2,0,100,241,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9814814814814815,1.0,0.4700520833333333,0.5299479166666667,0.0,0.030303030303030304,1.0,1.0,0.0,0.0,0.1457236842105263,0.9093023255813953,0.5348837209302325,0.3681173206033581,0.85,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,behavioral,0.2,0,100,241,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9895833333333334,1.008254716981132,0.50390625,0.49609375,0.0,0.09523809523809523,1.0,1.0,0.0,0.0,0.1548115079365079,0.9647058823529411,0.5,0.39095311980423086,0.8,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,lemonade_reset,3,0.8854700854700855,1.0,0.515625,0.484375,0.0,0.13333333333333333,1.0,0.0,1.0,3.6666666666666665,0.22579656862745098,0.875,0.3958333333333333,0.42769229030181716,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.90,3,0.8488888888888889,0.9586872586872587,0.4752604166666667,0.5247395833333333,0.0,0.07675438596491228,1.0,0.0,1.0,3.3333333333333335,0.17392094017094017,0.8418181818181818,0.4909090909090909,0.43051612661226707,0.9,True,True,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,degradation_aware_delta_0.90,3,0.8514619883040936,0.9615931721194878,0.5104166666666666,0.48958333333333337,0.0,0.13333333333333333,1.0,0.0,1.0,2.6666666666666665,0.20176767676767673,0.7999999999999999,0.5,0.41817028187003197,0.9,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,degradation_aware_delta_0.85,3,0.8670175438596491,0.9791607396870554,0.48046875,0.51953125,0.0,0.05263157894736842,1.0,0.0,1.0,3.6666666666666665,0.16051767676767678,0.7483870967741936,0.5161290322580645,0.4208696202530216,0.85,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,degradation_aware_delta_0.80,3,0.8377777777777778,0.9461389961389961,0.5104166666666666,0.48958333333333337,0.0,0.13333333333333333,1.0,0.0,1.0,2.3333333333333335,0.18097222222222223,1.2314285714285715,0.4857142857142857,0.4287137060077271,0.8,True,True,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,lemonade_reset,3,0.8854700854700855,1.0,0.515625,0.484375,0.0,0.13333333333333333,1.0,0.0,1.0,3.6666666666666665,0.22579656862745098,0.875,0.3958333333333333,0.42769229030181716,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.90,3,0.8488888888888889,0.9586872586872587,0.4752604166666667,0.5247395833333333,0.0,0.07675438596491228,1.0,0.0,1.0,4.0,0.17392094017094017,0.8418181818181818,0.4909090909090909,0.43051612661226707,0.9,True,True,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,degradation_aware_delta_0.90,3,0.8514619883040936,0.9615931721194878,0.5104166666666666,0.48958333333333337,0.0,0.13333333333333333,1.0,0.0,1.0,4.666666666666667,0.20176767676767673,0.7999999999999999,0.5,0.41817028187003197,0.9,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,degradation_aware_delta_0.85,3,0.8670175438596491,0.9791607396870554,0.48046875,0.51953125,0.0,0.05263157894736842,1.0,0.0,1.0,5.333333333333333,0.16051767676767678,0.7483870967741936,0.5161290322580645,0.4208696202530216,0.85,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,degradation_aware_delta_0.80,3,0.8377777777777778,0.9461389961389961,0.5104166666666666,0.48958333333333337,0.0,0.13333333333333333,1.0,0.0,1.0,2.3333333333333335,0.18097222222222223,1.2314285714285715,0.4857142857142857,0.4287137060077271,0.8,True,True,False,False
