schema_version,experiment,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,delta,success_continuity_retention,success_node_score_risk_reduced,success_candidate
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9252314814814815,1.006996124031008,0.4778645833333333,0.5221354166666667,0.0,0.1074074074074074,1.0,0.0,1.0,5.333333333333333,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.6,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9252314814814815,1.006996124031008,0.51953125,0.48046875,0.0,0.1074074074074074,1.0,0.0,1.0,5.333333333333333,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.5,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,lemonade_reset,3,0.9505494505494506,1.0,0.4908854166666667,0.5091145833333333,0.0,0.0,1.0,0.0,1.0,1.6666666666666667,0.19096153846153843,0.8818181818181818,0.45454545454545453,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9505494505494506,1.0,0.5169270833333334,0.48307291666666663,0.0,0.0,1.0,0.0,1.0,1.6666666666666667,0.19096153846153843,0.8818181818181818,0.45454545454545453,0.9,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9505494505494506,1.0,0.515625,0.484375,0.0,0.037037037037037035,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.1434090909090909,0.970967741935484,0.6129032258064516,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9743589743589745,1.02504816955684,0.5065104166666666,0.49348958333333337,0.0,0.13333333333333333,1.0,0.0,1.0,1.6666666666666667,0.13583333333333333,1.0461538461538462,0.6153846153846154,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9505494505494506,1.0,0.51171875,0.48828125,0.0,0.037037037037037035,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.1434090909090909,0.970967741935484,0.6129032258064516,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,lemonade_reset,3,0.9505494505494506,1.0,0.4908854166666667,0.5091145833333333,0.0,0.0,1.0,0.0,1.0,3.6666666666666665,0.19096153846153843,0.8818181818181818,0.45454545454545453,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9505494505494506,1.0,0.5169270833333334,0.48307291666666663,0.0,0.0,1.0,0.0,1.0,3.6666666666666665,0.19096153846153843,0.8818181818181818,0.45454545454545453,0.9,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9505494505494506,1.0,0.515625,0.484375,0.0,0.037037037037037035,1.0,0.0,1.0,2.6666666666666665,0.1434090909090909,0.970967741935484,0.6129032258064516,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9743589743589745,1.02504816955684,0.5065104166666666,0.49348958333333337,0.0,0.13333333333333333,1.0,0.0,1.0,2.3333333333333335,0.13583333333333333,1.0461538461538462,0.6153846153846154,0.6,True,True,False
